question,content,score
What are the key principles of AI transparency in the AI Bill of Rights?,"the principles described in the Blueprint for an AI Bill of Rights may be necessary to comply with existing law, 
conform to the practicalities of a specific use case, or balance competing public interests. In particular, law 
enforcement, and other regulatory contexts may require government actors to protect civil rights, civil liberties, 
and privacy in a manner consistent with, but using alternate mechanisms to, the specific principles discussed in",0.6944411399897
What are the key principles of AI transparency in the AI Bill of Rights?,"civil rights, civil liberties, and privacy. The Blueprint for an AI Bill of Rights includes this Foreword, the five 
principles, notes on Applying the The Blueprint for an AI Bill of Rights, and a Technical Companion that gives 
concrete steps that can be taken by many kinds of organizations—from governments at all levels to companies of 
all sizes—to uphold these values. Experts from across the private sector, governments, and international",0.673516072748113
What are the key principles of AI transparency in the AI Bill of Rights?,"played a central role in shaping the Blueprint for an AI Bill of Rights. The core messages gleaned from these 
discussions include that AI has transformative potential to improve Americans’ lives, and that preventing the 
harms of these technologies is both necessary and achievable. The Appendix includes a full list of public engage-
ments. 
4",0.6734427669426909
What are the key principles of AI transparency in the AI Bill of Rights?,"provide a concrete vision for actualizing the Blueprint for an AI Bill of Rights. Effectively implementing these 
processes require the cooperation of and collaboration among industry, civil society, researchers, policymakers, 
technologists, and the public. 
14",0.6695450173533921
What are the key principles of AI transparency in the AI Bill of Rights?,"govern automated systems and AI, such as the Department of Defense (DOD) AI Ethical Principles and 
Responsible AI Implementation Pathway and the Intelligence Community (IC) AI Ethics Principles and 
Framework. The implementation of these policies to national security and defense activities can be informed by 
the Blueprint for an AI Bill of Rights where feasible. 
The Blueprint for an AI Bill of Rights is not intended to, and does not, create any legal right, benefit, or",0.6676043992880278
How does the AI Bill of Rights protect individual privacy?,"the principles described in the Blueprint for an AI Bill of Rights may be necessary to comply with existing law, 
conform to the practicalities of a specific use case, or balance competing public interests. In particular, law 
enforcement, and other regulatory contexts may require government actors to protect civil rights, civil liberties, 
and privacy in a manner consistent with, but using alternate mechanisms to, the specific principles discussed in",0.7237889902486252
How does the AI Bill of Rights protect individual privacy?,"provides examples and concrete steps for communities, industry, governments, and others to take in order to 
build these protections into policy, practice, or the technological design process. 
Taken together, the technical protections and practices laid out in the Blueprint for an AI Bill of Rights can help 
guard the American public against many of the potential and actual harms identified by researchers, technolo­",0.6983976939227529
How does the AI Bill of Rights protect individual privacy?,"civil rights, civil liberties, and privacy. The Blueprint for an AI Bill of Rights includes this Foreword, the five 
principles, notes on Applying the The Blueprint for an AI Bill of Rights, and a Technical Companion that gives 
concrete steps that can be taken by many kinds of organizations—from governments at all levels to companies of 
all sizes—to uphold these values. Experts from across the private sector, governments, and international",0.6971547832816481
How does the AI Bill of Rights protect individual privacy?,"principles for managing information about individuals have been incorporated into data privacy laws and 
policies across the globe.5 The Blueprint for an AI Bill of Rights embraces elements of the FIPPs that are 
particularly relevant to automated systems, without articulating a specific set of FIPPs or scoping 
applicability or the interests served to a single particular domain, like privacy, civil rights and civil liberties,",0.6706842174168977
How does the AI Bill of Rights protect individual privacy?,"played a central role in shaping the Blueprint for an AI Bill of Rights. The core messages gleaned from these 
discussions include that AI has transformative potential to improve Americans’ lives, and that preventing the 
harms of these technologies is both necessary and achievable. The Appendix includes a full list of public engage-
ments. 
4",0.6562387190253699
What are the implications of AI in decision-making processes?,"•
Seny Kamara, Associate Professor of Computer Science, Brown University
Each panelist individually emphasized the risks of using AI in high-stakes settings, including the potential for 
biased data and discriminatory outcomes, opaque decision-making processes, and lack of public trust and 
understanding of the algorithmic systems. The interventions and key needs various panelists put forward as",0.5815713816903636
What are the implications of AI in decision-making processes?,"outputs, which may be erroneous, lead to ill-founded decision-making, or amplify harmful 
biases.  
7. Human-AI Conﬁguration: Arrangements of or interactions between a human and an AI system 
which can result in the human inappropriately anthropomorphizing GAI systems or experiencing 
algorithmic aversion, automation bias, over-reliance, or emotional entanglement with GAI 
systems. 
8. Information Integrity: Lowered barrier to entry to generate and support the exchange and",0.5530519009962487
What are the implications of AI in decision-making processes?,"impacts. 
Human-AI Conﬁguration; Value 
Chain and Component Integration 
AI Actor Tasks: AI Deployment, AI Design, AI Impact Assessment, Aﬀected Individuals and Communities, Domain Experts, End-
Users, Human Factors, Operation and Monitoring  
 
MEASURE 1.1: Approaches and metrics for measurement of AI risks enumerated during the MAP function are selected for 
implementation starting with the most signiﬁcant AI risks. The risks or trustworthiness characteristics that will not – or cannot – be",0.5489072087532969
